index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,PredFlag
1012,4 Star,A,300 Cormorant Pl,,Frederick,MD,217011938,39.4494663,-77.3962436,1288,2962,1,3,1,2,615,1512,206,,,,,,,5,194732,197327,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1013,2 Star,C,8201 New Hampshire Ave,,Langley Park,MD,207833739,38.993332,-76.984904,1065,1065,1,2,1,1,650,712,135,,,,,,,3,95250,217364,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,3 Star,B,1650 Fuller St NW,NW,Washington,DC,20009,38.9245521,-77.0383093,1846.113333,2169.653333,1,2,1,1,650,700,12,,,,,,,3,12468,4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1015,4 Star,A,1255 22nd St NW,NW,Washington,DC,200371217,38.906747,-77.048344,2170,7500,0,2,1,2,340,1564,197,,,,2016,,,9,178191,19602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,2 Star,C,28 Fort Evans Rd NE,NE,Leesburg,VA,20176,39.1082455,-77.5474565,1050,2360,1,2,1,1,680,925,198,,,,,,,3,367131,434163,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,2 Star,B,5402 Taney Ave,,Alexandria,VA,223042002,38.821016,-77.124565,1605,2175,2,3,1,1,952,1596,310,12,14,,,,,2,384000,489366,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1018,3 Star,B,7700 Eastern Ave NW,NW,Washington,DC,20012,38.982991,-77.0249571,1495,1900,0,2,0,1,455,1140,88,12,12,,,2013,2013,4,88600,73181,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,4 Star,A,2001 Clarendon Blvd,,Arlington,VA,22201,38.892034,-77.082264,2188,8688,0,4,1,3,644,3073,154,,,,,,,6,422028,83291,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,3 Star,B,6301 Stevenson Ave,,Alexandria,VA,223043527,38.8136816,-77.1405319,1328.88,1528.803333,0,0,,,,,255,,,,,,,16,378768,223210,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1021,3 Star,B,4550 Connecticut Ave NW,NW,Washington,DC,20008,38.9495226,-77.067275,1525,2420,0,2,1,2,503,1000,118,9,12,,,,,8,113164,23958,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,2 Star,C,930 Farragut St NW,NW,Washington,DC,200113944,38.9505594,-77.0268594,1356.12,1418.833333,1,1,1,1,500,500,57,,,,,,,5,57485,14680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1023,3 Star,B,831 Locust St,,Herndon,VA,20170,38.9681862,-77.3897695,1395,1595,1,3,1,1,717,1100,90,,,,,,,3,85149,177725,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,3 Star,B,14801 Bowie Rd,,Laurel,MD,207081043,39.091388,-76.8459236,1008,1820,1,3,1,2,594,1303,235,,,,,,,3,269556,458251,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1025,3 Star,B,1932 9th St NW,NW,Washington,DC,200014108,38.916458,-77.024315,1431.023333,2013.806667,1,1,1,1,,,6,,,,2015,,,4,7500,,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1026,4 Star,B,715 S Braddock St,,Winchester,VA,226014052,39.1781731,-78.1698456,1027.766667,2850.546667,0,0,1,1,,,9,,,,2015,,,,7650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1027,2 Star,C,160-180 Talbott St,,Rockville,MD,208521415,39.0696939,-77.1337549,1282.653333,1514.666667,0,0,,,,,21,,,,,,,2,56332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1028,2 Star,C,1424 Chapin St NW,NW,Washington,DC,20009,38.9213148,-77.0332227,1355,1355,1,3,1,2,750,1200,34,,,,,,,5,33660,7501,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,4 Star,A,42496 Hollyhock Ter,,Ashburn,VA,201486986,38.987602,-77.5331487,1229.323333,2974.12,0,0,,,,,433,,,,,,,3,864039,1084644,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030,4 Star,A,4701 Old Soper Rd,,Camp Springs,MD,207464009,38.8242254,-76.9139849,1736,3627,0,3,1,2,834,1625,282,4,14,,,,,6,152800,307900,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,4 Star,A,11842 Federalist Way,,Fairfax,VA,22030,38.849837,-77.354718,1579,2308,1,2,1,2,718,1137,404,,,,,,,4,411843,692521,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1032,4 Star,B,2401 Pennsylvania Ave NW,NW,Washington,DC,200371730,38.9034956,-77.0518338,3785,4085,1,2,1,2,900,2600,40,,,,,,,8,62800,18369,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,3 Star,B,1101 New Hampshire Ave NW,NW,Washington,DC,20037,38.9039384,-77.0481286,1725,4200,0,2,1,2,514,1270,203,12,12,,,,,10,151820,23522,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,3 Star,C,1111 Massachusetts Ave NW,NW,Washington,DC,200054646,38.9047529,-77.0272938,1540.38,2024.843333,0,1,1,1,374,675,160,,,,,1999,1999,10,115350,15599,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1035,3 Star,C,405 Armstrong Ct,,Laurel,MD,20707,39.0981006,-76.8564505,1119,1339,0,2,1,1,450,1000,96,,,,,,,3,124089,12998,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1036,3 Star,B,7431 Willoughby Ln,,Manassas,VA,201098501,38.7949004,-77.5277066,1290.266667,1699.906667,2,3,1,2,877,1178,180,,,,,,,3,210192,400099,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1037,4 Star,A,850 N Randolph St,,Arlington,VA,22203,38.8808334,-77.1096976,1841,2882,1,2,1,2,400,1215,714,,,,,,,22,688194,90474,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1038,4 Star,B,1348 Euclid St NW,NW,Washington,DC,200094844,38.9234,-77.03108,1409.826667,2723.51,0,0,,,,,31,,,,,,,4,32004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1039,2 Star,C,1621-1625 N Ode St,,Arlington,VA,22209,38.893128,-77.075293,1550,1550,1,1,1,1,450,450,23,12,12,,,2014,2015,3,11697,16940,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,2 Star,C,8808-8810 Glenville Rd,,Silver Spring,MD,20901,39.0001649,-76.9971949,960,1489,1,2,1,1,750,900,23,,,,,,,3,22200,3733,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,4 Star,A,600 Kenilworth Ter NE,NE,Washington,DC,20019,38.8986755,-76.9506,1140,1628,0,3,1,2,403,1139,186,,,,2015,,,6,148800,,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,3 Star,B,6936 Walker Mill Rd,,Capitol Heights,MD,20743,38.871162,-76.887329,1225,2225,1,4,1,2,670,1082,200,,,,,,,4,260912,415127,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2 Star,C,210 Virginia Ave,,Front Royal,VA,226302669,38.9218017,-78.1954388,887.8666667,1014.136667,2,2,1,1,,,16,,,,,,,2,15168,51836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1044,4 Star,A,2465 Army Navy Dr,,Arlington,VA,222062980,38.8482538,-77.0767003,1421.336667,2894.956667,1,2,1,1,,,190,,,,,,,4,374460,155670,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1045,2 Star,C,46925 Crocus St,,Lexington Park,MD,206535296,38.2374783,-76.460911,478,1250,1,3,1,1,576,1152,78,,,,,,,2,65000,120661,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1046,3 Star,B,6008 Rock Cliff Ln,,Alexandria,VA,22315,38.759739,-77.149549,1599,2199,1,2,1,2,788,1148,294,,,,,,,4,327600,536032,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,5 Star,A,4455 Connecticut Ave NW,NW,Washington,DC,200082324,38.946915,-77.064658,2130,7585,0,3,1,2,521,1411,271,,,,2014,,,11,266700,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,2 Star,B,1425 N St NW,NW,Washington,DC,20005,38.9074255,-77.033089,1411.11,1781.93,1,1,,,,,141,,,,,,,10,101376,18374,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1049,3 Star,B,180 Watkins Station Cir,,Gaithersburg,MD,20879,39.1617071,-77.2193315,1209,1923,1,2,1,2,725,1152,210,,,,,2000,2000,3,195380,486565,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1050,4 Star,A,5325 Westbard Ave,,Bethesda,MD,208164400,38.961605,-77.106383,1615,4484,1,2,1,2,689,2332,258,,,,,,,10,297780,82254,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1051,4 Star,B,2201 Wisconsin Ave NW,NW,Washington,DC,200074105,38.9193056,-77.0703288,1650,2995,0,2,1,2,625,1080,50,6,12,,,,,5,54386,51802,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,2 Star,C,3500-3510 Minnesota Ave SE,SE,Washington,DC,200198263,38.886403,-76.956324,960.3666667,1236.896667,1,2,1,1,400,750,37,,,,,,,3,39526,57183,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1053,4 Star,B,5480 Wisconsin Ave,,Chevy Chase,MD,208153530,38.9634374,-77.0874195,1664,3209,0,2,1,2,479,1359,391,,,,,1991,1991,15,275962,46548,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054,4 Star,A,79 Potomac Ave SE,SE,Washington,DC,200033539,38.8711205,-77.0068497,1983,5497,0,2,1,2,532,1269,305,,,,2015,,,9,281050,92186,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,3 Star,B,4529 MacArthur Blvd NW,NW,Washington,DC,200074201,38.90909,-77.08595,1503.133333,2031.626667,,,,,,,,,,,,,,4,6166,,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
