index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,PredFlag
20,2 Star,C,5520 Lee Hwy,,Arlington,VA,222071617,38.895571,-77.139679,1335.47,1629.326667,1,2,1,1,500,600,11,,,,,,,3,6680,14810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,3 Star,B,1634 14th St NW,NW,Washington,DC,200094335,38.912392,-77.032349,1385.623333,1908.223333,0,0,,,,,31,,,,,,,,30000,5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,3 Star,B,2210 Los Pueblos Ln,,Falls Church,VA,22043,38.90104,-77.20668,1350,2025,1,3,1,2,710,1169,396,,,,,,,3,414735,671260,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2 Star,C,3435 Holmead Pl NW,NW,Washington,DC,20010,38.933037,-77.030539,1495,1650,0,2,1,1,370,800,100,,,,,,,5,46625,19036,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2 Star,B,3501 13th St NW,NW,Washington,DC,20010,38.9326338,-77.0293121,1820,2740,1,2,1,1,460,1000,42,,,,,,,5,35665,12672,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3 Star,B,104 Cottage Rd,,Martinsburg,WV,25404,39.479589,-77.940372,819,974,2,3,1,1,981,1101,120,,,,,,,1,184279,566280,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
26,3 Star,B,150 Steeplechase Way,,Largo,MD,20774,38.8909578,-76.8351638,1395,2125,1,2,1,2,713,934,240,,,,,,,4,199200,625522,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5 Star,B,4101 Albemarle St NW,NW,Washington,DC,20016,38.9483961,-77.0811042,1731.136667,3100.026667,0,0,,,,,250,,,,,,,5,246195,93682,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,3 Star,B,Cressida Pl,,Woodbridge,VA,22192,38.6734861,-77.3311362,1240.29,1451.89,0,0,,,,,9,,,,,,,3,10800,1013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,3 Star,B,55 Manor Dr,,Hagerstown,MD,21740,39.637115,-77.704525,737,1260,1,3,1,1,570,870,418,,,,,,,3,489816,886882,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
